utilization.gpu [%], memory.used [MiB]
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
69 %, 19932 MiB
73 %, 19932 MiB
74 %, 19932 MiB
73 %, 19932 MiB
78 %, 19932 MiB
79 %, 19932 MiB
76 %, 19932 MiB
78 %, 19932 MiB
79 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
79 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
77 %, 19932 MiB
78 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
72 %, 19932 MiB
75 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
79 %, 19932 MiB
78 %, 19932 MiB
79 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
65 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
68 %, 19938 MiB
69 %, 19938 MiB
75 %, 19938 MiB
78 %, 19938 MiB
78 %, 19938 MiB
78 %, 19938 MiB
79 %, 19938 MiB
79 %, 19938 MiB
78 %, 19938 MiB
79 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
